"区分","計","計_男","計_女","Ａ　大学等進学者_計","Ａ　大学等進学者_計_通信を除く","Ａ　大学等進学者_男","Ａ　大学等進学者_男_通信を除く","Ａ　大学等進学者_女","Ａ　大学等進学者_女_通信を除く","　Ｂ　専修学校　　（専門課程）　　進学者_計","　Ｂ　専修学校　　（専門課程）　　進学者_男","　Ｂ　専修学校　　（専門課程）　　進学者_女","　Ｃ　専修学校　　（一般課程）　　等入学者_計","　Ｃ　専修学校　　（一般課程）　　等入学者_男","　Ｃ　専修学校　　（一般課程）　　等入学者_女","　Ｄ　公共職業能　　力開発施設等　　入学者_計","　Ｄ　公共職業能　　力開発施設等　　入学者_男","　Ｄ　公共職業能　　力開発施設等　　入学者_女","Ｅ　就職者（左記Ａ～Ｄを除く）_計","Ｅ　就職者（左記Ａ～Ｄを除く）_男","Ｅ　就職者（左記Ａ～Ｄを除く）_女","Ｆ　左記以外の者_計","Ｆ　左記以外の者_男","Ｆ　左記以外の者_女","Ｇ　死亡･不詳の者_計","Ｇ　死亡･不詳の者_男","Ｇ　死亡･不詳の者_女","左記Ａのうち他県への進学者（再掲）","左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）_計","左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）_男","左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）_女","高等学校等進学率（％）_計","高等学校等進学率（％）_男","高等学校等進学率（％）_女","専修学校（高等課程）進学率（％）_計","専修学校（高等課程）進学率（％）_男","専修学校（高等課程）進学率（％）_女","卒業者に占める就職者の割合（％）_計","卒業者に占める就職者の割合（％）_男","卒業者に占める就職者の割合（％）_女"
"神奈川","78931.0","40263.0","38668.0","77825.0","75242.0","39564.0","38076.0","38261.0","37166.0","300.0","201.0","99.0","86.0","48.0","38.0","5.0","5.0","0.0","184.0","157.0","27.0","516.0","274.0","242.0","15.0","14.0","1.0","7663.0","2.0","2.0","0.0","98.5987761462543","98.2639147604501","98.947450087928","0.380078803005156","0.499217643990761","0.256025654287783","0.235648857863197","0.394903509425527","0.0698251784421227"
"新潟","21062.0","10983.0","10079.0","20957.0","20631.0","10921.0","10733.0","10036.0","9898.0","4.0","1.0","3.0","4.0","1.0","3.0","2.0","2.0","0.0","15.0","12.0","3.0","78.0","45.0","33.0","2.0","1.0","1.0","276.0","1.0","1.0","0.0","99.501471845029","99.4354912136939","99.5733703740451","0.0189915487608014","0.00910498042429209","0.0297648576247644","0.0759661950432058","0.118364745515797","0.0297648576247644"
"富山","10189.0","5146.0","5043.0","10101.0","10041.0","5083.0","5053.0","5018.0","4988.0","1.0","0.0","1.0","2.0","1.0","1.0","1.0","1.0","0.0","19.0","18.0","1.0","65.0","43.0","22.0","0.0","0.0","0.0","179.0","1.0","1.0","0.0","99.1363234861125","98.775748153906","99.5042633353163","0.00981450583963098","0.0","0.0198294665873488","0.19629011679262","0.369218810726778","0.0198294665873488"
"石川","11121.0","5727.0","5394.0","11030.0","10990.0","5676.0","5660.0","5354.0","5330.0","4.0","1.0","3.0","3.0","3.0","0.0","0.0","0.0","0.0","24.0","18.0","6.0","60.0","29.0","31.0","0.0","0.0","0.0","114.0","0.0","0.0","0.0","99.181728261847","99.1094814038764","99.2584352984798","0.0359679884902437","0.0174611489436005","0.0556173526140156","0.215807930941462","0.314300680984809","0.111234705228031"
"福井","7906.0","4038.0","3868.0","7824.0","7754.0","3978.0","3946.0","3846.0","3808.0","21.0","16.0","5.0","3.0","1.0","2.0","10.0","10.0","0.0","20.0","14.0","6.0","28.0","19.0","9.0","0.0","0.0","0.0","152.0","0.0","0.0","0.0","98.9628130533772","98.5141158989599","99.4312306101345","0.265621047305844","0.396235760277365","0.129265770423992","0.252972426005565","0.346706290242694","0.15511892450879"
"山梨","8401.0","4267.0","4134.0","8264.0","8139.0","4182.0","4106.0","4082.0","4033.0","14.0","5.0","9.0","4.0","1.0","3.0","2.0","2.0","0.0","70.0","57.0","13.0","42.0","18.0","24.0","5.0","2.0","3.0","160.0","0.0","0.0","0.0","98.3692417569337","98.0079681274901","98.7421383647799","0.1666468277586","0.117178345441762","0.217706821480406","0.833234138793001","1.33583313803609","0.314465408805031"
"長野","20902.0","10781.0","10121.0","20658.0","20354.0","10641.0","10481.0","10017.0","9873.0","43.0","24.0","19.0","5.0","2.0","3.0","1.0","1.0","0.0","34.0","28.0","6.0","159.0","84.0","75.0","2.0","1.0","1.0","378.0","1.0","0.0","1.0","98.8326475935317","98.7014191633429","98.9724335539967","0.205721940484164","0.222613857712643","0.187728485327537","0.167448091091762","0.259716167331416","0.0691631261733031"
"岐阜","20705.0","10616.0","10089.0","20451.0","19644.0","10455.0","10053.0","9996.0","9591.0","7.0","0.0","7.0","1.0","1.0","0.0","4.0","3.0","1.0","88.0","71.0","17.0","150.0","82.0","68.0","4.0","4.0","0.0","824.0","4.0","3.0","1.0","98.7732431779763","98.483421250942","99.0782039845376","0.0338082588746679","0.0","0.0693824957874913","0.444337116638493","0.697061039939714","0.178412132024978"
"静岡","35474.0","18133.0","17341.0","34876.0","33906.0","17769.0","17266.0","17107.0","16640.0","74.0","35.0","39.0","9.0","4.0","5.0","12.0","9.0","3.0","168.0","121.0","47.0","335.0","195.0","140.0","0.0","0.0","0.0","1103.0","25.0","18.0","7.0","98.3142583300445","97.992610158275","98.6505968513927","0.20860348424198","0.193018254012022","0.224900524767891","0.54406043863111","0.766558208790603","0.311400726601695"
"愛知","73625.0","37726.0","35899.0","72232.0","68621.0","36934.0","34742.0","35298.0","33879.0","159.0","51.0","108.0","47.0","16.0","31.0","39.0","31.0","8.0","371.0","303.0","68.0","767.0","384.0","383.0","10.0","7.0","3.0","2872.0","18.0","17.0","1.0","98.1079796264856","97.9006520701903","98.3258586590156","0.215959252971138","0.135185283358957","0.300844034652776","0.528353140916808","0.848221385781689","0.192205911028162"
